CustomerID,CompanyName,ContactName,ContactTitle,Address,City
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager, place Kléber,Strasbourg
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,C/ Araquil,Madrid
BONAP,Bon app',Laurence Lebihan,Owner, rue des Bouchers,Marseille
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,Av. dos Lusíadas,Sao Paulo
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen
DUMON,Du monde entier,Janine Labrune,Owner, rue des Cinquante Otages,Nantes
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Rua Orós,Sao Paulo
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,C/ Moralzarzal,Madrid
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent, chaussée de Tournai,Lille
FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München
FRANR,France restauration,Carine Schmitt,Marketing Manager, rue Royale,Nantes
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,Rambla de Cataluña,Barcelona
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,C/ Romero,Sevilla
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,Av. Brasil,Campinas
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rua do Paço,Rio de Janeiro
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative, avenue de l'Europe,Versailles
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
